neighbourhood_agg,Average of price
Bronx,$126.87
Allerton,$134.92
Baychester,$122.48
Belmont,$122.90
Bronxdale,$92.77
Castle Hill,$111.00
City Island,$169.25
Claremont Village,$98.40
Clason Point,$110.29
Co-op City,$76.43
Concourse,$110.65
Concourse Village,$92.00
Country Club,$147.75
East Morrisania,$113.55
Eastchester,$154.08
Edenwald,$103.88
Fieldston,$87.20
Fordham,$96.12
Highbridge,$81.35
Hunts Point,$82.64
Kingsbridge,$112.80
Longwood,$240.09
Melrose,$105.04
Morris Heights,$86.49
Morris Park,$96.21
Morrisania,$107.70
Mott Haven,$147.04
Mount Eden,$89.38
Mount Hope,$207.13
North Riverdale,$156.57
Norwood,$103.91
Olinville,$226.85
Parkchester,$122.38
Pelham Bay,$132.00
Pelham Gardens,$133.34
Port Morris,$129.76
Riverdale,$326.89
Schuylerville,$171.96
Soundview,$187.64
Spuyten Duyvil,$196.67
Throgs Neck,$125.14
Tremont,$109.27
Unionport,$149.47
University Heights,$104.67
Van Nest,$156.92
Wakefield,$107.64
West Farms,$89.38
Westchester Square,$91.75
Williamsbridge,$114.19
Woodlawn,$121.67
Brooklyn,$175.69
Bath Beach,$199.89
Bay Ridge,$157.13
Bedford-Stuyvesant,$142.48
Bensonhurst,$111.31
Bergen Beach,$216.69
Boerum Hill,$249.25
Borough Park,$94.99
Brighton Beach,$142.66
Brooklyn Heights,$229.85
Brownsville,$139.63
Bushwick,$114.16
Canarsie,$188.88
Carroll Gardens,$251.58
Clinton Hill,$213.80
Cobble Hill,$265.19
Columbia St,$200.48
Coney Island,$132.43
Crown Heights,$148.96
Cypress Hills,$111.05
Downtown Brooklyn,$291.46
DUMBO,$296.67
Dyker Heights,$130.05
East Flatbush,$260.87
East New York,$140.21
Flatbush,$135.85
Flatlands,$139.85
Fort Greene,$193.14
Fort Hamilton,$110.19
Gerritsen Beach,$195.00
Gowanus,$263.50
Gravesend,$127.43
Greenpoint,$214.08
Kensington,$134.72
Manhattan Beach,$210.25
Midwood,$103.05
Mill Basin,$175.83
Navy Yard,$422.22
Park Slope,$239.10
Prospect Heights,$218.29
Prospect-Lefferts Gardens,$127.33
Red Hook,$256.72
Sea Gate,$213.75
Sheepshead Bay,$217.55
South Slope,$182.56
Sunset Park,$128.09
Vinegar Hill,$262.59
Williamsburg,$240.79
Windsor Terrace,$174.91
Manhattan,$307.45
Battery Park City,$270.63
Chelsea,$315.46
Chinatown,$267.29
Civic Center,$276.00
East Harlem,$254.13
East Village,$243.04
Financial District,$463.73
Flatiron District,$462.19
Gramercy,$275.08
Greenwich Village,$340.21
Harlem,$167.90
Hell's Kitchen,$302.18
Inwood,$94.46
Kips Bay,$261.00
Little Italy,$298.63
Lower East Side,$303.39
Marble Hill,$117.60
Midtown,$461.79
Morningside Heights,$136.04
Murray Hill,$406.67
NoHo,$445.70
Nolita,$249.87
Roosevelt Island,$140.42
SoHo,$626.36
Stuyvesant Town,$204.47
Theater District,$644.60
Tribeca,$752.76
Two Bridges,$161.37
Upper East Side,$258.50
Upper West Side,$274.51
Washington Heights,$116.72
West Village,$340.29
Queens,$148.40
Arverne,$208.45
Astoria,$121.22
Bay Terrace,$147.40
Bayside,$170.78
Bayswater,$110.90
Belle Harbor,$339.00
Bellerose,$616.90
Breezy Point,$164.00
Briarwood,$329.00
Cambria Heights,$146.87
College Point,$132.63
Corona,$93.98
Ditmars Steinway,$157.98
Douglaston,$80.88
East Elmhurst,$138.51
Edgemere,$160.68
Elmhurst,$84.74
Far Rockaway,$163.75
Flushing,$110.03
Forest Hills,$835.14
Fresh Meadows,$146.84
Glendale,$116.61
Hollis,$86.44
Holliswood,$197.14
Howard Beach,$159.15
Jackson Heights,$96.20
Jamaica,$133.02
Jamaica Estates,$132.23
Jamaica Hills,$126.00
Kew Gardens,$133.51
Kew Gardens Hills,$151.31
Laurelton,$124.39
Little Neck,$49.00
Long Island City,$219.24
Maspeth,$122.66
Middle Village,$154.97
Neponsit,$295.00
Ozone Park,$115.87
Queens Village,$154.59
Rego Park,$105.09
Richmond Hill,$104.44
Ridgewood,$115.12
Rockaway Beach,$175.59
Rosedale,$125.71
South Ozone Park,$243.79
Springfield Gardens,$142.51
St. Albans,$143.93
Sunnyside,$111.04
Whitestone,$238.50
Woodhaven,$93.65
Woodside,$86.93
Staten Island,$287.25
Arden Heights,$129.00
Arrochar,$133.00
Bull's Head,$262.33
Castleton Corners,$113.71
"Chelsea, Staten Island",$102.00
Clifton,$146.82
Concord,$107.67
Dongan Hills,$160.50
Eltingville,$252.25
Emerson Hill,$114.00
Fort Wadsworth,$800.00
Graniteville,$89.17
Grant City,$67.94
Great Kills,$128.40
Grymes Hill,$201.00
Howland Hook,$170.00
Huguenot,$115.50
Lighthouse Hill,$250.00
Mariners Harbor,$91.87
Midland Beach,$140.00
New Brighton,$165.08
New Dorp,$40.00
New Dorp Beach,$137.57
New Springville,$197.60
Oakwood,$151.75
Port Richmond,$148.85
Prince's Bay,$193.14
Randall Manor,$137.47
Richmondtown,$112.33
Rosebank,$137.75
Rossville,$101.00
Shore Acres,$127.67
Silver Lake,$141.67
South Beach,$104.75
St. George,$129.68
Stapleton,$173.32
Todt Hill,$299.00
Tompkinsville,$122.02
Tottenville,$255.75
West Brighton,"$2,090.15"
Westerleigh,$122.00
Willowbrook,$264.00
Woodrow,$75.00
Grand Total,$225.26